"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.565711000E0,6.727546129E0,-6.604482704E0,-2.569516585E1,2.737006789E1
2.575752000E0,-2.564822674E-1,-4.819276895E0,-2.094602689E1,2.149481927E1
2.585794000E0,8.201778299E-1,-4.352734575E0,-1.722842565E1,1.778869417E1
2.595835000E0,4.013245819E0,-3.900923730E0,-1.453871814E1,1.557875711E1
2.605876000E0,4.396049579E0,-4.127833704E0,-1.162099963E1,1.309243657E1
2.615917000E0,1.482576439E0,-5.564156036E0,-6.282145586E0,8.521925748E0
2.625958000E0,-3.827083628E0,-3.444022298E0,4.701836153E0,6.972454511E0
2.636000000E0,-4.789041235E0,-2.882353966E0,1.662603614E1,1.754046630E1
2.646041000E0,1.185213363E0,-4.899293118E0,2.341606152E1,2.395244749E1
2.656082000E0,7.505375499E0,-5.197657236E0,2.572009604E1,2.729230005E1
2.666123000E0,9.167915495E0,-4.299070584E0,2.373708067E1,2.580662088E1
2.676165000E0,8.040586935E0,-3.354900207E0,1.793849047E1,1.994231265E1
2.686206000E0,4.188997334E0,-5.112585511E0,8.039657813E0,1.040780126E1
2.696247000E0,-4.382638990E0,-9.690102843E0,-6.523309318E0,1.247634490E1
2.706288000E0,-6.274105664E0,-1.001277208E1,-1.898152381E1,2.235885178E1
2.716330000E0,-7.256584074E0,-5.768338467E0,-2.188998267E1,2.377189691E1
2.726371000E0,-9.491724358E0,-6.783126837E0,-1.914025934E1,2.241546718E1
2.736412000E0,-3.858109247E0,-6.415163310E0,-1.421064374E1,1.606180945E1
2.746453000E0,2.834346571E0,-4.112532125E0,-1.041056167E1,1.154669803E1
2.756495000E0,7.096438193E0,-3.042703915E0,-7.590101069E0,1.082714720E1
2.766536000E0,8.055109665E0,-4.552101824E0,-3.032906905E0,9.736783197E0
2.776577000E0,4.982461574E0,-3.694072044E0,6.210731202E0,8.777486751E0
2.786618000E0,8.497445682E-1,-1.492984191E0,1.751573444E1,1.759977331E1
2.796660000E0,1.955682259E0,-2.524678030E0,2.386680232E1,2.407951298E1
2.806701000E0,5.366021964E0,-3.923309210E0,2.453590623E1,2.542040993E1
2.816742000E0,6.909239584E0,-4.430563354E0,2.019214070E1,2.179656003E1
2.826783000E0,6.867514438E0,-4.040836490E0,1.360039440E1,1.576267242E1
2.836825000E0,4.301854151E0,-4.687486501E0,5.071211783E0,8.136072012E0
2.846866000E0,-2.918147404E0,-7.768348761E0,-6.515947673E0,1.055084835E1
2.856907000E0,-8.428271951E0,-8.025591166E0,-1.747901743E1,2.099909360E1
2.866948000E0,-9.328246733E0,-5.724259817E0,-2.213625804E1,2.469407333E1
2.876989000E0,-7.005289457E0,-6.577041137E0,-2.073901440E1,2.285690856E1
2.887031000E0,3.393661107E-1,-6.229683782E0,-1.590824481E1,1.708790163E1
2.897072000E0,7.159445450E0,-4.756995277E0,-1.155063073E1,1.439804617E1
2.907113000E0,9.836428245E0,-6.256474555E0,-7.942481182E0,1.410609095E1
2.917154000E0,7.581654766E0,-7.060156220E0,-4.614774621E-1,1.037016183E1
2.927196000E0,1.573539234E0,-3.436979327E0,1.338792880E1,1.391134394E1
2.937237000E0,3.430592121E-1,-1.943434973E0,2.626093776E1,2.633498587E1
